#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 7.250000e+01 6.750000e+01 -2.850042e+05
post-recon post-recon 0 0 7.250000e+01 7.250000e+01 1.144812e+06
post-recon post-recon 0 0 7.250000e+01 7.750000e+01 -3.170539e+05
post-recon post-recon 0 0 7.250000e+01 8.250000e+01 -9.442079e+04
post-recon post-recon 0 0 7.250000e+01 8.750000e+01 -7.538225e+04
post-recon post-recon 0 0 7.250000e+01 9.250000e+01 -7.878340e+03
post-recon post-recon 0 0 7.250000e+01 9.750000e+01 -4.242528e+04
post-recon post-recon 0 0 7.250000e+01 1.025000e+02 2.888982e+04
post-recon post-recon 0 0 7.250000e+01 1.075000e+02 1.233507e+04
post-recon post-recon 0 0 7.250000e+01 1.125000e+02 -3.085325e+04
post-recon post-recon 0 0 7.250000e+01 1.175000e+02 -1.102900e+04
post-recon post-recon 0 0 7.250000e+01 1.225000e+02 7.731570e+04
post-recon post-recon 0 0 7.250000e+01 1.275000e+02 6.348446e+04
post-recon post-recon 0 0 7.250000e+01 1.325000e+02 -6.284534e+04
post-recon post-recon 0 0 7.250000e+01 1.375000e+02 -2.509119e+03
post-recon post-recon 0 0 7.250000e+01 1.425000e+02 9.179285e+04
post-recon post-recon 0 0 7.250000e+01 1.475000e+02 -1.297762e+05
post-recon post-recon 0 0 7.750000e+01 5.250000e+01 8.907429e+02
post-recon post-recon 0 0 7.750000e+01 5.750000e+01 -7.161746e+02
post-recon post-recon 0 0 7.750000e+01 6.250000e+01 -1.850227e+04
post-recon post-recon 0 0 7.750000e+01 6.750000e+01 -1.381432e+05
post-recon post-recon 0 0 7.750000e+01 7.250000e+01 -3.170539e+05
post-recon post-recon 0 0 7.750000e+01 7.750000e+01 1.323425e+06
post-recon post-recon 0 0 7.750000e+01 8.250000e+01 -4.102176e+05
post-recon post-recon 0 0 7.750000e+01 8.750000e+01 -1.952402e+05
post-recon post-recon 0 0 7.750000e+01 9.250000e+01 -6.167042e+04
post-recon post-recon 0 0 7.750000e+01 9.750000e+01 -2.123155e+04
post-recon post-recon 0 0 7.750000e+01 1.025000e+02 8.436787e+03
post-recon post-recon 0 0 7.750000e+01 1.075000e+02 -2.881121e+04
post-recon post-recon 0 0 7.750000e+01 1.125000e+02 -6.054280e+04
post-recon post-recon 0 0 7.750000e+01 1.175000e+02 7.389127e+04
post-recon post-recon 0 0 7.750000e+01 1.225000e+02 3.170128e+04
post-recon post-recon 0 0 7.750000e+01 1.275000e+02 -4.753660e+04
post-recon post-recon 0 0 7.750000e+01 1.325000e+02 -6.889392e+04
post-recon post-recon 0 0 7.750000e+01 1.375000e+02 1.047164e+05
post-recon post-recon 0 0 7.750000e+01 1.425000e+02 -1.253674e+05
post-recon post-recon 0 0 7.750000e+01 1.475000e+02 2.033187e+05
post-recon post-recon 0 0 8.250000e+01 5.250000e+01 -3.672470e+04
post-recon post-recon 0 0 8.250000e+01 5.750000e+01 -2.561250e+04
post-recon post-recon 0 0 8.250000e+01 6.250000e+01 -1.122886e+04
post-recon post-recon 0 0 8.250000e+01 6.750000e+01 -8.811351e+04
post-recon post-recon 0 0 8.250000e+01 7.250000e+01 -9.442079e+04
post-recon post-recon 0 0 8.250000e+01 7.750000e+01 -4.102176e+05
post-recon post-recon 0 0 8.250000e+01 8.250000e+01 1.479209e+06
post-recon post-recon 0 0 8.250000e+01 8.750000e+01 -3.600989e+05
post-recon post-recon 0 0 8.250000e+01 9.250000e+01 -1.438722e+05
post-recon post-recon 0 0 8.250000e+01 9.750000e+01 -3.282502e+04
post-recon post-recon 0 0 8.250000e+01 1.025000e+02 -1.352185e+05
post-recon post-recon 0 0 8.250000e+01 1.075000e+02 -4.486162e+04
post-recon post-recon 0 0 8.250000e+01 1.125000e+02 6.588260e+04
post-recon post-recon 0 0 8.250000e+01 1.175000e+02 -3.510230e+04
post-recon post-recon 0 0 8.250000e+01 1.225000e+02 6.030072e+04
post-recon post-recon 0 0 8.250000e+01 1.275000e+02 -2.606208e+04
post-recon post-recon 0 0 8.250000e+01 1.325000e+02 7.063385e+03
post-recon post-recon 0 0 8.250000e+01 1.375000e+02 2.222424e+04
post-recon post-recon 0 0 8.250000e+01 1.425000e+02 5.196296e+04
post-recon post-recon 0 0 8.250000e+01 1.475000e+02 -1.693301e+05
post-recon post-recon 0 0 8.750000e+01 5.250000e+01 -3.364724e+04
post-recon post-recon 0 0 8.750000e+01 5.750000e+01 -3.379887e+04
post-recon post-recon 0 0 8.750000e+01 6.250000e+01 1.696607e+04
post-recon post-recon 0 0 8.750000e+01 6.750000e+01 -1.510220e+04
post-recon post-recon 0 0 8.750000e+01 7.250000e+01 -7.538225e+04
post-recon post-recon 0 0 8.750000e+01 7.750000e+01 -1.952402e+05
